ZODIAC,NAME_JA,INFO_JA,NAME_EN,INFO_EN
Aries,牡羊座,"月がある星座に滞在する期間は、1日以上続くことがあります。牡羊座の月。この期間中、月は有益な影響を与えます。そのエネルギーは生存に関わるすべてを促進し、各人に内在する資質をより一層引き出します。おそらく、内なる潜在能力をも明らかにできるでしょう。月が牡羊座にあるとき、身体的・精神的活動が急上昇し、第一になりたいという欲求を感じます。人々は精神能力、創造性、独創性の変化を経験し、勇気や攻撃性が現れます。この時期は何か変わったことをしたくなり、日常から抜け出したくなります。運転時は特に注意深く警戒し、交通や歩行者に驚かされるかもしれません。
アルコールの影響下にある人は不適切な行動を取り、他人をいじめ、口論はしばしば喧嘩に発展します。同僚は次々と仕事を飛び越え、始めたことを完了せず、すぐに飽きてしまいます。管理職や上司は感情的かつ衝動的になり、他人を考えずに即断即決することがあります。",Aries,"The moon in a sign can last for more than one calendar day. Moon in the sign Aries. During this period, the moon has a beneficial effect. Its energy facilitates everything related to survival and allows the qualities inherent in each person to be revealed to a greater extent. Perhaps, you can even reveal your inner potential. When the Moon is in Aries, physical and mental activity goes through the roof, and you feel the desire to be the first. People can experience changes in mental abilities, creativity, originality; courage and aggressiveness are manifested. At this time, you want to do something unusual, get out from the routine. Be especially watchful and cautious when driving, the traffic and pedestrians may freak you out today. 
A person under the influence of alcohol is expected to behave inappropriately, bully others, quarrels often end in fights. Colleagues jump from task to task, never completing what they undertook, quickly getting bored with everything. The managers and superiors may become emotional and impulsive, making decisions spontaneously, without thinking about others."
Taurus,牡牛座,月がある星座に滞在する期間は1日以上続くことがあります。牡牛座の月。この期間中、月は財務問題の解決を助け、繁栄の増加や遺産を残す能力に寄与します。月は安定性と自信を高めるため、エネルギーや身体的・財政的資源を蓄える機会が増えます。牡牛座の月の影響下では、人々は心が柔らかくなり、親切で優しくなり、実用的で現実的な思考が現れます。気分を高めるために美味しいものを食べ、美しいものを眺めましょう。,Taurus,"The moon in a sign can last for more than a calendar day. Moon in Taurus. During this period, the moon helps to solve financial issues, contributes to increasing prosperity and the ability to leave something as a legacy. You have more energy and opportunities to accumulate energy, physical and financial resources since the moon increases stability and self-confidence. Under the influence of the Moon in Taurus, people soften their souls and they become kind and gentle, the practicality and pragmatic nature of the mind is manifested. Eat something tasty and look at something beautiful to boost your mood."
Gemini,双子座,月がある星座に滞在する期間は1日以上続くことがあります。双子座の月：この期間中、月は主に人々に良い影響を与えます。友達を見つけやすくなり、他人からの好意的な反応を得られます。月のエネルギーは受容を促進し、適応、精神的成長、自由、共通の人生観を持つ人々の結びつきを助けます。双子座の月の時期は情報交換や短い旅行に適しています。通常、この期間は注意が複数のことに分散し、すべてを一度にこなしたい気持ちになります。遅刻、通信や交通の乱れ、停電が起こる可能性があります。しかし良い面として、月は情報伝達や思考・アイデアの交換の機会を作り出します。人々は好奇心を示し、周囲の出来事を知りたがります。友好的な集まりで気分を上げることができます。,Gemini,"The moon in a sign can last for more than one calendar day. Moon in Gemini: during this period, the moon has mostly positive influence on people. You can find friends easier and get positive feedback from others. The moon energy promotes acceptance and facilitates adaptation, spiritual growth, freedom, and uniting of people with common views on life. The time when the moon is in Gemini is convenient for exchanging information, as well as for short trips. Usually, during this period, attention is dispersed to several things at once, as if you want to immediately take on everything. Late arrivals, disruptions to communications and traffic, power outages are possible. On the bright side, however, the moon creates opportunities for transmitting information, exchange of thoughts and ideas. People display curiosity and want to be aware of all the events happening around them. You can cheer up with a friendly get-together."
Cancer,蟹座,"月がある星座に滞在する期間は1日以上続くことがあります。蟹座の月。この期間中、見知らぬ人の影響を受けやすい危険があります。その人が示す同情や配慮は信頼を呼び起こします。この瞬間を自分の利益に活用しましょう。月の悪影響にもかかわらず、この時期は子供や親戚間の友好関係を築き、物質的・精神的な遺産を蓄え、直感や寛容さを発展させ、人々の無意識の行動や反応を理解し受け入れることを学ぶのに最適です。
レストラン経営者、園芸や花の販売をする人は成功の日を楽しめます。感情は鋭く深みを増し、出来事は停滞または遅くなるため、急いだり無理に物事を進めようとしないでください。",Cancer,"The moon in a sign can last longer than a calendar day. Moon in Cancer. During this period, there is a danger of falling under the influence of a stranger, because any sympathy or care shown by this person inspires confidence in them. Try using this moment in your favor. Despite the negative impact of the Moon, this time is perfect for establishing friendly relationships between kids, relatives, accumulating material and spiritual inheritance, developing your intuition, tolerance, learning to understand and accept the unconscious actions and reactions of people.
People who have a restaurant business, do gardening or sell flowers, will enjoy a day of success. Feelings sharpen and acquire depth, events stop or slow down, so you should not try to rush or force some moments."
Leo,獅子座,"月がある星座に滞在する期間は1日以上続くことがあります。獅子座の月。この期間中、すべての星座の人々が創造性と潜在能力を発揮し、力と自由、名声、愛、社会的認知を得る機会があります。このような日は散歩、劇場や展覧会、文化的な場所への訪問に適しています。獅子座の月のときは休息と娯楽に最適な時期です。組織力、脳の働き、熱意が高まることを感じるかもしれません。この期間はお世辞が非常に効果的なので、自分の利益のために活用することを検討してもよいでしょう。
獅子座の月のときは、自分に注目と評価を集めるすべての可能性が開かれ、良い気分に貢献します。自分が世界で一番素晴らしいと歌う歌詞のある曲があれば、スマートフォンのアラーム音に設定してみてください。",Leo,"The moon in a sign can last longer than one calendar day. Moon in the sign Leo. During this period, representatives of all signs have the opportunity to reveal their creativity and potential, as well as gain strength and freedom, fame, love, and recognition by society. Such days are favorable for walking, attending theaters, exhibitions, places of culture. When the Moon is in Leo it is the best time for rest and entertainment. One might feel a boost in organizational skills, robust brain function and enthusiasm. Flattery has tremendous power during this period, so you might consider using it for your own good.
When the Moon is in Leo, all the possibilities open up for you to attract attention to yourself and appreciation, which will contribute to your good mood. If you have a song with lyrics that say that you are the best and the most beautiful in the world consider setting it to your smartphone alarm clock melody."
Virgo,乙女座,"月がある星座に滞在する期間は1日以上続くことがあります。乙女座の月。この期間中、日常の用事や宝飾品の作業、勤勉さと正確さを要する活動に最適な時期です。努力に対して称賛を受ける時でもあります。この日は整理整頓、掃除、服の整理、そして6ヶ月間段ボールを溜め込んでいた地獄のようなガレージの掃除に適しています。
また、この時間をキャリアや健康に充てることもできます。健康と収入の安定は私たちの生活の重要な要素です。スポーツをしたり、ジムでトレーニングしたり、リラックスしたり、サウナやスパに行ったり、屋外で過ごす時間を増やすのも良い考えです。",Virgo,"The moon in a sign can last for longer than a calendar day. Moon in Virgo. During this period, the best period of time for routine errands, as well as jewelry work and any activity requiring diligence and precision. This is the time to receive accolades for well-deserved work. The day favors tidying, cleaning, sorting and folding the things in the wardrobe and finally cleaning your hell hole of a garage where you've been stashing six months of cardboard.
You may also devote this time to your career and your health. Our health and the stability of our income are two pivotal factors in our lives. It is also a great idea to go in for sports, work out in the gym, relax, use a sauna, spa salons and spend more time outdoors. "
Libra,てんびん座,"月が星座にある期間は、1日以上続くことがあります。
てんびん座の月：この期間中、月は調和のとれたパートナーを見つける機会を提供し、公共の要求に応えられるようになり、効果的なイメージを作り出し、エリートの事柄や場所での成功も約束します。テーブルの花瓶の花、良いメロディー、軽いワインと甘いものが良い気分を作るのに役立ちます。親戚や友人、知人との関係も改善されます。決断力の強い性格の特徴は弱まり、下した決定は簡単に変わるでしょう。人々は様々な話題で議論しやすくなりますが、スキャンダルや口論には至りません。てんびん座は和解し、理性的になる機会を与えます。古代の月の暦の例によれば、この期間に住居の建設を始めると、家は長く持ち、火災や様々なトラブルから安全であり、そこに住む家族は繁栄すると言われています。良いものを受け取る場所を訪れ、利益を得るためにもっと旅行することが有益です。",Libra,"Moon in a sign can last more than one calendar day.\nMoon in Libra: During this period, the moon provides an opportunity to find harmonious partners, to be or become able to meet the demands of the public, create an effective image, and also promises success in elite affairs and elite premises. Flowers in vases on your table, a good melody, light wine and sweets will help create a good mood. Relations with relatives and friends, as well as friends and acquaintances will be improved. The decisive trait of character will weaken, the decisions made will easily change. People will become prone to disputes on various topics, but scandals and quarrels will not come. Libra gives the opportunity to reconcile and be reasonable. Samples of ancient lunar calendars tell that during such a period it is necessary to start building a dwelling, the house will stand for a long time and be safe from fire and various troubles, and the family living in it will be prosperous. It will be useful to visit places where you will receive good, travel more in order to receive profit."
Scorpio,さそり座,月が星座にある期間は、1日以上続くことがあります。さそり座の月：この期間中、月は人々に正しい道、自分の方法や原則を見つける機会を与え、他者や自分自身に責任を持つことを学び、合理的に成熟し、様々なストレスの多い状況を避け、責任を取る能力を持たせます。この時期は税務、警察、深い研究、組織や人々との関わりに適しています。さそり座の月は、人々の計画や思考に情熱を注ぎます。あらゆる活動は徹底的なアプローチが特徴です。この期間中は様々な秘跡、神秘、禁忌への関心が高まります。通常、緊張が高まり、気性が激しくなり、些細なことで口論が起こりやすい時期です。軽いフラートや明るいものが良い気分を高めます。古い月の暦によれば、この期間に旅行をすると何らかの利益を得ることができるとされています。,Scorpio,"The moon in a sign can last for more than one calendar day. Moon in Scorpio: During this period, the moon gives people the opportunity to find the right path, their ways and principles, learn to take responsibility for others and themselves, mature reasonably, avoid various stressful situations and be able to take responsibility. This time is favorable for tax services, police, in-depth research, as well as for association with organisations and people. The moon in Scorpio imbues everything that people have in their plans and thoughts with passion.  All types of activity are characterized by a thorough approach. During such a period, interest in various sacraments, mystics and prohibitions will increase. Usually, the tensions are rising and tempers are hot, as such period is conducive for quarrels that can be ignited by a trifle. Light flirting and bright things will raise a good mood. Old lunar calendars tell us that during such a period it would be useful to travel to get some kind of profit."
Sagittarius,いて座,月が星座にある期間は、1日以上続くことがあります。いて座の月：この期間中、月は社会に溶け込み、自分のチームを作り、社会関係の構造を効果的に感じることを可能にします。この期間は教育、教会の事柄、旅行に適しています。この時期、人々の幸福が向上し、体調も良好に保たれます。運動、スポーツ、身体的なエクササイズが推奨されます。直感が強まることがあり、一部の人は予言的な能力を示すかもしれません。惑星がこの星座にある間、正義感と誠実さの感覚が鋭くなり、愛する人や友人のために立ち上がり、彼らを守ろうとする傾向が強まります。,Sagittarius,"The moon in a sign can last for more than one calendar day. Moon in Sagittarius. During this period, the moon allows you to assimilate into society, build your own team, and effectively feel the structure of social relations. This period is conducive to teaching, church affairs, and travel. At such a time, people's well-being will improve, physical form will be well maintained. Movement, sports and physical exercise are recommended. Intuition may strengthen, some people may display prophetic abilities. While the planet is in the sign, feelings of justice and honesty will sharpen in the sign, which means we are more inclined to stand up for our loved ones and friends and protect them."
Capricorn,やぎ座,月が星座にある期間は、1日以上続くことがあります。やぎ座の月：この期間は年長者や地位の高い人との関係改善に適しています。人々は物質的成功を達成し、効果的にビジネスや職業を選択する機会があります。コミュニケーションを制限することは推奨されず、あなたの笑顔は他の人々の顔に明るさを反映します。選択する活動は効率的で簡潔な特徴があります。異常なことに直面した場合は注意を払い、秩序と信頼性を守ってください。この時期は規則、規制、法律が破られることは稀です。いくつかの事柄では、制限的な処方や規則の形で障害が生じることがあります。,Capricorn,"The moon in a sign can last for more than one calendar day. Moon in Capricorn. This period favors the improvement of relations with people who are older and higher in rank. People have the opportunity to achieve material success, effectively choose a business or profession. It is not recommended to limit yourself to communication, your smile will reflect on the faces of other people with light. The activities you choose to undertake are characterized by efficiency and conciseness. Exercise caution when faced with the unusual with caution, stick with order and reliability. At such time, rules, regulations and laws are seldom violated. In some affairs, various obstacles can arise, more often in the form of restrictive prescriptions and rules."
